District,Name,Party,#,District Wiki URL,Person Wiki URL,Vote on Laken Riley,Vote on Laken Riley Notes,Vote on Laken Riley Points,Vote on H.R.1968,Vote on 1968 Points,,,Sum
Connecticut 2,Joe Courtney,Democratic,84,https://en.wikipedia.org/wiki/Connecticut%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Joe_Courtney_(politician),Yea,,-1,Nay,1,,,0
Connecticut 3,Rosa DeLauro,Democratic,85,https://en.wikipedia.org/wiki/Connecticut%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Rosa_DeLauro,Nay,,1,Nay,1,,,2
Connecticut 4,Jim Himes,Democratic,86,https://en.wikipedia.org/wiki/Connecticut%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Jim_Himes,Nay,,1,Nay,1,,,2
Connecticut 5,Jahana Hayes,Democratic,87,https://en.wikipedia.org/wiki/Connecticut%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Jahana_Hayes,Yea,,-1,Nay,1,,,0
Delaware at-large,Sarah McBride,Democratic,88,https://en.wikipedia.org/wiki/Delaware%27s_at-large_congressional_district,https://en.wikipedia.org/wiki/Sarah_McBride,Nay,,1,Nay,1,,,2
Florida 1,Vacant,Vacant,89,https://en.wikipedia.org/wiki/Florida%27s_1st_congressional_district,,,,0,Nay,1,,,1
Florida 2,Neal Dunn,Republican,90,https://en.wikipedia.org/wiki/Florida%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Neal_Dunn,Yea,,-1,Yea,-1,,,-2
Florida 3,Kat Cammack,Republican,91,https://en.wikipedia.org/wiki/Florida%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Kat_Cammack,Yea,,-1,Yea,-1,,,-2
Florida 4,Aaron Bean,Republican,92,https://en.wikipedia.org/wiki/Florida%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Aaron_Bean,Yea,,-1,Yea,-1,,,-2
Florida 5,John Rutherford,Republican,93,https://en.wikipedia.org/wiki/Florida%27s_5th_congressional_district,https://en.wikipedia.org/wiki/John_Rutherford_(Florida_politician),Yea,,-1,Yea,-1,,,-2
Florida 6,Vacant,Vacant,94,https://en.wikipedia.org/wiki/Florida%27s_6th_congressional_district,,,,0,Nay,1,,,1
Florida 7,Cory Mills,Republican,95,https://en.wikipedia.org/wiki/Florida%27s_7th_congressional_district,https://en.wikipedia.org/wiki/Cory_Mills,Yea,,-1,Yea,-1,,,-2
